(10773,2,6377)
(12973,3,6057)
(12071,3,5734)
(10977,3,5573)
(10212,3,5891)
(10514,3,6097)
(12140,3,6885)
(10005,3,6183)
(10239,3,6183)
(10870,3,5397)
(11190,3,6478)
(11715,3,5165)
(11296,3,6414)
(10380,3,6905)
(11852,3,5795)
(12318,3,5413)
(10456,3,6516)
(12213,3,6516)
(10565,3,6853)
(10997,3,6853)
(11172,3,6951)
(10127,3,6656)
(12017,3,5808)
(10000,3,5490)
(10681,3,6630)
(11252,3,5177)
(11084,3,6833)
(11219,3,6377)
(11731,3,5300)
(12219,3,5300)
(10157,3,6888)
(10617,3,6219)
(11126,3,5385)
(10284,3,5476)
(11494,3,6273)
(11184,3,5825)
(11450,3,6329)
(12184,3,5716)
(12246,3,5716)
(10029,3,5197)
(10374,3,6899)
(11534,3,6474)
(11997,3,6342)
(10389,3,6728)
(11824,3,6728)
(10429,3,6008)
(10780,3,5100)
(12874,3,5857)
(11397,4,6985)
(10649,4,5165)
(10510,4,5873)
(11438,4,6666)
(14463,4,6516)
(12678,4,5555)
(10325,4,5177)
(10512,4,5385)
(10430,4,6273)
(11883,4,6273)
(13129,4,6329)
(11789,4,5702)
(10195,4,5696)
(10875,4,5696)
(11533,4,6611)
(13059,4,6538)
(10601,4,5221)
(11279,4,6008)
(11382,4,6283)
(10509,5,5891)
(10563,5,5891)
(11980,5,6985)
(11706,5,6507)
(11042,5,5267)
(13223,5,6516)
(15365,5,6516)
(10659,5,5615)
(10421,5,5177)
(10827,5,6833)
(12436,5,5102)
(12119,5,6219)
(10669,5,5838)
(13326,5,6868)
(12458,5,6273)
(10442,5,5885)
(11414,5,5885)
(10202,5,5953)
(12896,5,5953)
(13163,5,6329)
(14599,5,5602)
(13485,5,6611)
(12536,5,6538)
(13073,5,6538)
(10539,5,5221)
(10792,5,5221)
(11680,5,6008)
(11501,5,5574)
(10778,6,6442)
(11850,6,6442)
(11863,6,6442)
(11666,6,6761)
(10878,6,5808)
(10060,6,6080)
(11166,6,6080)
(10338,6,6097)
(10667,6,6305)
(11577,6,6305)
(11777,6,6090)
(11008,6,5177)
(11672,6,5102)
(10735,6,6219)
(12272,6,6219)
(13393,6,6868)
(11626,6,5953)
(10783,6,5734)
(13287,6,6204)
(12175,6,6728)
(11908,7,6985)
(10289,7,5350)
(11703,7,5350)
(13323,7,6905)
(12155,7,5103)
(10344,7,6493)
(11487,7,6493)
(11582,7,5267)
(10990,7,5981)
(11112,7,5981)
(12538,7,6355)
(12677,7,6355)
(11725,7,5795)
(10619,7,5381)
(10782,7,6516)
(11701,7,5341)
(10117,7,6675)
(11836,7,6675)
(11005,7,5838)
(11614,7,5838)
(11432,7,6756)
(10101,7,6868)
(12349,7,6868)
(14017,7,6868)
(13716,7,5385)
(13600,7,6204)
(10516,7,5209)
(12049,7,6556)
(12517,8,6970)
(12432,8,5891)
(10014,8,6885)
(11459,8,6985)
(12148,8,5350)
(10326,8,6949)
(10236,8,5807)
(10078,8,6987)
(10364,8,6782)
(10864,8,5168)
(11479,8,6782)
(11496,8,5168)
(10082,8,5795)
(11485,8,6090)
(11804,8,6090)
(10515,8,5979)
(13108,8,5979)
